ITEM|SOURCE|SOURCE_ZIP|DEST|DEST_ZIP|TRANSLEADTIME|PRIORITY|U_Equipment_TYPE
04055RUPLUS|US2N|83707|4000106321|83687|1|1|VN
04055RUPLUS PS|USMZ|46040|4000197136|53132|1440|1|VN
04055RUPLUS PS|US8S|73131|4000178760|74115|1|1|VN
04055RUPLUS PS|USMZ|46040|4000193080|53051|1440|1|VN
04055RUPLUS|USQ4|60163|4000085118|60087|1|1|VN
04055RUPLUS PS|USG5|78218|4000170505|70129|2880|1|VN
04055RUPLUS PS|USMZ|46040|4000211750|43125|1|1|VN
04055RUPLUS|USPX|17406|6100695778|17406|1|1|VN
04055RUPLUS PS|USMZ|46040|4000195659|46628|1|1|VN
04055RUPLUS|UT13|28269|4000165582|28625|1|1|VN
04055RUPLUS PS|USMZ|46040|4000200574|53046|1440|1|VN
04055RUPLUS PS|USG5|78218|4000201030|78624|1|1|VN
04055RUPLUS PS|US8S|73131|4000201070|80239|2880|1|VN
04055RUPLUS|UT02|43228|4000016954|45227|1|1|VN
04055RUPLUS PS|USMZ|46040|6100342882|43123|1|1|VN
04055RUPLUS|USKZ|30336|4000165859|37403|1|1|VN
04055RUPLUS PS|USMZ|46040|4000201938|41094|1|1|VN
04055RUPLUS PS|USX1|11713|6100371635|11802|1|1|VN
04055RUPLUS PS|USX1|11713|4000117148|04106|1440|1|VN
04055RUPLUS PS|USMZ|46040|6100759717|48176|1|1|VN
04055RUPLUS PS|USMZ|46040|4000000354|53042|1440|1|VN
04055RUPLUS|USKM|84104|4000081245|84016|1|1|VN
04055RUPLUS|USPF|54729|4000081797|54449|1|1|VN
04055RUPLUS|UT74|24153|4000082199|24012|1|1|VN
04055RUPLUS|USKZ|30336|6101015270|30228|1|1|VN
04055RUPLUS|USG5|78218|6100209697|78839|1|1|VN
04055RUPLUS|USQ4|60163|6100213361|60963|1|1|VN
04055RUPLUS|USX1|11713|6100216723|10705|1|1|VN
04055RUPLUS PS|USQA|33166|4000087592|33069|1|1|VN
04055RUPLUS PS|USMZ|46040|4000123308|45365|1|1|VN
04055RUPLUS PS|USMZ|46040|4000124439|46158|1|1|VN
04055RUPLUS PS|USMZ|46040|4000130044|60608|1|1|VN
04055RUPLUS PS|USX1|11713|4000146833|27537|2880|1|VN
04055RUPLUS PS|US8S|73131|4000160986|66801|1|1|VN
04055RUPLUS|US8T|37909|6100316072|38555|1|1|VN
04055RUPLUS|USQ4|60163|4000108218|60188|1|1|VN
04055RUPLUS PS|USMZ|46040|4000201046|60047|1|1|VN
04055RUPLUS PS|USX1|11713|4000204227|02301|1440|1|VN
04055RUPLUS|US2N|83707|4000166213|83713|1|1|VN
04055RUPLUS|USPF|54729|6100716700|54729|1|1|VN
04055RUPLUS|USQ4|60163|4000134001|46390|1|1|VN
04055RUPLUS|USQ4|60163|4000106613|60476|1|1|VN
04055RUPLUS|USNY|72113|4000141348|72143|1|1|VN
04055RUPLUS|USKR|89434|4000141388|89445|1|1|VN
04055RUPLUS|USA9|17055|4000108622|17043|1|1|VN
04055RUPLUS|USQ4|60163|4000026795|60047|1|1|VN
04055RUPLUS|USJT|54660|4000012181|54413|1|1|VN
04055RUPLUS|UT02|43228|6101002863|43078|1|1|VN
04055RUPLUS|USKZ|30336|6100723541|30126|1|1|VN
04055RUPLUS|USQ4|60163|4000025547|60501|1|1|VN
04055RUPLUS|US8T|37909|6100746535|37760|1|1|FB
04055RUPLUS|USKM|84104|6100749382|82935|1|1|VN
04055RUPLUS|USA8|35204|6100754838|37066|1|1|VN
04055RUPLUS PS|USMZ|46040|4000065150|38301|1440|1|VN
04055RUPLUS|USA9|17055|4000231102|17554|1|1|VN
04055RUPLUS|USQ4|60163|4000232435|60164|1|1|VN
04055RUPLUS|USX1|11713|4000232557|44691|2880|1|VN
04055RUPLUS|UT13|28269|4000229412|27360|1|1|VN
04055RUPLUS|USG5|78218|4000105002|75702|1|1|VN
04055RUPLUS|USPF|54729|4000134166|54448|1|1|VN
04055RUPLUS|USWN|87121|4000185663|81120|1440|1|VN
04055RUPLUS|UT13|28269|4000186504|28152|1|1|VN
04055RUPLUS|USMY|99216|4000191206|83501|1|1|VN
04055RUPLUS PS|USX1|11713|4000093159|03053|1440|1|VN
04055RUPLUS PS|USMZ|46040|4000144246|60515|1|1|VN
04055RUPLUS|USX1|11713|4000196864|44654|2880|1|VN
04055RUPLUS|USQ4|60163|4000199445|60639|1|1|VN
04055RUPLUS|USKZ|30336|4000201337|30336|1|1|VN
04055RUPLUS|USRK|44273|4000200932|46818|1|1|VN
04055RUPLUS|USA8|35204|4000231083|35961|1|1|FB
04055RUPLUS|USQ4|60163|4000234283|60153|1|1|VN
04055RUPLUS|USA9|17055|4000235356|17554|1|1|VN
04055RUPLUS|USG5|78218|4000235387|78719|1|1|VN
04055RUPLUS|USQ4|60163|4000235461|60638|1|1|VN
04055RUPLUS|USA9|17055|4000227020|17815|1|1|VN
04055RUPLUS|USQ4|60163|4000230741|60007|1|1|VN
04055RUPLUS|USKM|84104|4000105856|83201|1|1|VN
04055RUPLUS|USQ4|60163|4000114178|60188|1|1|VN
04055RUPLUS|USQ4|60163|4000234324|60609|1|1|VN
04055RUPLUS|UT13|28269|4000186850|28103|1|1|FB
04055RUPLUS|US2N|83707|4000236829|83687|1|1|VN
04055RUPLUS|USYI|28360|4000107528|28379|1|1|VN
04055RUPLUS|USJT|54660|4000071660|54656|1|1|VN
04055RUPLUS|UT74|24153|4000132071|24084|1|1|VN
04055RUPLUS|USQ4|60163|4000221332|53551|1|1|VN
04055RUPLUS|UT02|43228|4000222502|43125|1|1|VN
04055RUPLUS|US8S|73131|4000222568|73109|1|1|VN
04055RUPLUS|USVZ|75236|4000219188|75051|1|1|VN
04055RUPLUS|USA8|35204|4000219295|42066|1440|1|VN
04055RUPLUS|UT74|24153|4000221094|24151|1|1|VN
04055RUPLUS|USQ4|60163|4000221457|61008|1|1|VN
04055RUPLUS|USKM|84104|4000172936|84115|1|1|VN
04055RUPLUS|USQ4|60163|4000172964|60803|1|1|VN
04055RUPLUS|USQ4|60163|4000205082|60143|1|1|VN
04055RUPLUS|USKM|84104|4000205090|84104|1|1|VN
04055RUPLUS|USG5|78218|4000203729|78045|1|1|VN
04055RUPLUS|USQ4|60163|4000200934|60714|1|1|VN
04055RUPLUS|UT2L|92121|4000204596|92110|1|1|VN
04055RUPLUS|US2N|83707|4000199956|83338|1|1|VN
04055RUPLUS|USQ4|60163|4000193146|60018|1|1|VN
04055RUPLUS|USG5|78218|4000209924|78641|1|1|VN
04055RUPLUS|USJT|54660|4000221619|54481|1|1|VN
04055RUPLUS|UT44|63114|4000199686|63026|1|1|VN
04055RUPLUS|UT02|43228|4000222683|62806|1440|1|VN
04055RUPLUS|US8S|73131|4000222723|73129|1|1|VN
04055RUPLUS|USA8|35204|4000222778|35055|1|1|VN
04055RUPLUS|USPX|17406|4000222786|30102|1|1|VN
04055RUPLUS|USQ4|60163|4000220981|60106|1|1|VN
04055RUPLUS|USYN|78220|6100676897|75652|1440|1|VN
04055RUPLUS|USKM|84104|4000184643|84104|1|1|VN
04055RUPLUS|USQ4|60163|4000183170|60133|1|1|VN
04055RUPLUS|USQ4|60163|4000196262|46534|1|1|VN
04055RUPLUS|UT74|24153|4000196845|24354|1|1|VN
04055RUPLUS|USA8|35204|4000208286|35603|1|1|VN
04055RUPLUS|UT13|28269|4000167858|28105|1|1|VN
04055RUPLUS|USG5|78218|4000201486|78852|1|1|VN
04055RUPLUS|USNY|72113|4000199045|72104|1|1|VN
04055RUPLUS|US8T|37909|4000192670|40744|1|1|VN
04055RUPLUS|UT13|28269|4000208541|28115|1|1|FB
04055RUPLUS|USQ4|60163|4000175649|60623|1|1|VN
04055RUPLUS|UT13|28269|4000201706|28031|1|1|VN
04055RUPLUS|USMY|99216|4000215728|99344|1|1|VN
04055RUPLUS|UT2L|92121|4000202621|92064|1|1|VN
04055RUPLUS|USKR|89434|4000203032|89502|1|1|VN
04055RUPLUS|USX1|11713|4000215840|11747|1|1|VN
04055RUPLUS|USG5|78218|4000189051|76821|1|1|FB
04055RUPLUS|USQ4|60163|4000203152|46360|1|1|VN
04055RUPLUS|USQ4|60163|4000203229|60106|1|1|VN
04055RUPLUS|USJT|54660|4000203266|54494|1|1|VN
04055RUPLUS|USQ4|60163|4000203387|60632|1|1|VN
04055RUPLUS|USQ4|60163|4000203398|60644|1|1|VN
04055RUPLUS|USQ4|60163|4000203539|60060|1|1|VN
04055RUPLUS|USKM|84104|4000168273|84081|1|1|VN
04055RUPLUS|USKM|84104|4000206228|84737|1440|1|VN
04055RUPLUS|UT13|28269|4000206276|28630|1|1|VN
04055RUPLUS|USKZ|30336|4000225441|30354|1|1|VN
04055RUPLUS|USQ4|60163|4000202135|60638|1|1|VN
04055RUPLUS|USQ4|60163|4000202817|60056|1|1|VN
04055RUPLUS|UT13|28269|4000199196|27103|1|1|VN
04055RUPLUS|USQ4|60163|4000200619|60090|1|1|VN
04055RUPLUS|USKR|89434|4000200342|89434|1|1|VN
04055RUPLUS|USG5|78218|4000200905|78219|1|1|VN
04055RUPLUS|USQ4|60163|4000187783|53158|1|1|VN
04055RUPLUS|USQ4|60163|4000201046|60047|1|1|VN
04055RUPLUS|USQ4|60163|4000218093|60638|1|1|VN
04055RUPLUS|UT44|63114|4000164224|62260|1|1|VN
04055RUPLUS|USQ4|60163|4000219847|46360|1|1|VN
04055RUPLUS|USHE|00950|4000203264|00962|1|1|VN
04055RUPLUS|USPF|54729|4000186126|54603|1|1|VN
04055RUPLUS|US8T|37909|4000182667|30701|1|1|FB
04055RUPLUS|USQ4|60163|4000184230|60609|1|1|VN
04055RUPLUS|USG5|78218|4000223873|78219|1|1|FB
04055RUPLUS|USQ4|60163|4000226923|46368|1|1|VN
04055RUPLUS|USG5|78218|4000217675|78046|1|1|VN
04055RUPLUS|UT74|24153|4000217677|27379|1|1|VN
04055RUPLUS|USJT|54660|4000168186|55987|1|1|VN
04055RUPLUS|USA8|35204|4000171000|35957|1|1|VN
04055RUPLUS|USG5|78218|4000213729|78045|1|1|VN
04055RUPLUS|USJS|23803|4000092667|23420|1|1|VN
04055RUPLUS|US8T|37909|6100263315|37814|1|1|VN
04055RUPLUS|USA8|35204|6100263565|35233|1|1|VN
04055RUPLUS|USQ4|60163|4000162198|47951|1|1|VN
04055RUPLUS|USKR|89434|4000061725|89506|1|1|VN
04055RUPLUS|USKM|84104|6100578173|83431|1|1|VN
04055RUPLUS|USJT|54660|4000151237|51238|1440|1|VN
04055RUPLUS|USA9|17055|4000125627|17601|1|1|VN
04055RUPLUS|USKR|89434|4000120615|89434|1|1|VN
04055RUPLUS|USQ4|60163|4000066128|60085|1|1|VN
04055RUPLUS|US8T|37909|4000066651|42633|1|1|VN
04055RUPLUS|USVZ|75236|4000082659|75236|1|1|VN
04055RUPLUS|USA8|35204|4000149352|30703|1|1|VN
04055RUPLUS|USA9|17055|4000087303|17745|1|1|VN
04055RUPLUS|UT44|63114|4000162920|62565|1|1|VN
04055RUPLUS|US8T|37909|6100544192|37307|1|1|VN
04055RUPLUS|USA8|35204|4000101797|35601|1|1|VN
04055RUPLUS|USKZ|30336|4000105757|30336|1|1|VN
04055RUPLUS|USKM|84104|4000123784|84015|1|1|VN
04055RUPLUS|USA8|35204|6100545413|35601|1|1|VN
04055RUPLUS|USYN|78220|4000139696|77995|1|1|VN
04055RUPLUS|USQ4|60163|6101075712|53142|1|1|VN
04055RUPLUS|USWN|87121|6101077140|81144|1440|1|VN
04055RUPLUS|UT13|28269|6130037246|28203|1|1|VN
04055RUPLUS|USQ4|60163|6130172456|60143|1|1|VN
04055RUPLUS|USA8|35204|6130223856|63775|1440|1|VN
04055RUPLUS|USJT|54660|4000149747|54603|1|1|VN
04055RUPLUS|USNY|72113|4000027630|72401|1|1|VN
04055RUPLUS|USHE|00950|4000155089|00693|1|1|VN
04055RUPLUS|USKM|84104|6101049868|83440|1|1|VN
04055RUPLUS|USQ4|60163|4000124537|60060|1|1|VN
04055RUPLUS|UT44|63114|6100233045|62239|1|1|VN
04055RUPLUS|USZ5|98057|6100233679|98903|1|1|VN
04055RUPLUS|USKR|89434|4000132538|89419|1|1|VN
04055RUPLUS|USKM|84104|4000132559|84321|1|1|FB
04055RUPLUS|UT44|63114|6100238512|65202|1|1|VN
04055RUPLUS|USQ4|60163|6100239272|60098|1|1|VN
04055RUPLUS|USJT|54660|4000125011|54467|1|1|VN
04055RUPLUS|USKM|84104|4000139438|84104|1|1|VN
04055RUPLUS|USA8|35204|6101011808|38464|1|1|VN
04055RUPLUS|USQ4|60163|6100632417|60164|1|1|VN
04055RUPLUS|UT44|63114|6100635922|65102|1|1|VN
04055RUPLUS|USKM|84104|6100248468|97914|1440|1|VN
04055RUPLUS|USMY|99216|3000001713|98802|1|1|FB
04055RUPLUS|USA9|17055|6100682657|17015|1|1|VN
04055RUPLUS|US2N|83707|4000154287|83607|1|1|VN
04055RUPLUS|USJT|54660|4000097849|54467|1|1|VN
04055RUPLUS|UT3E|84321|4000036569|83350|1|1|VN
04055RUPLUS|USA8|35204|4000037374|36010|1|1|VN
04055RUPLUS|USKM|84104|4000037432|83402|1|1|VN
04055RUPLUS|UT13|28269|4000219961|28043|1|1|VN
04055RUPLUS|USQ4|60163|4000194241|60018|1|1|VN
04055RUPLUS|USNY|72113|4000187348|72833|1|1|FB
04055RUPLUS|USJT|54660|4000130761|53566|1|1|VN
04055RUPLUS|USKM|84104|4000190761|84404|1|1|VN
04055RUPLUS|USKZ|30336|4000181321|30035|1|1|VN
04055RUPLUS|UT13|28269|4000200299|28269|1|1|VN
04055RUPLUS|USKR|89434|4000204769|89506|1|1|VN
04055RUPLUS|UT44|63114|4000169775|62025|1|1|VN
04055RUPLUS|USX1|11713|4000183425|43302|2880|1|VN
04055RUPLUS|USJT|54660|4000214871|54467|1|1|VN
04055RUPLUS|US8S|73131|4000148662|74147|1|1|VN
04055RUPLUS|USKR|89434|4000202741|89506|1|1|VN
04055RUPLUS|US8S|73131|4000205234|74103|1|1|VN
04055RUPLUS|USPF|54729|4000222365|54722|1|1|VN
04055RUPLUS|UT44|63114|4000194042|63349|1|1|VN
04055RUPLUS|USQ4|60163|4000214947|60085|1|1|VN
04055RUPLUS|USKM|84104|4000000095|84321|1|1|VN
04055RUPLUS|USQ4|60163|4000212868|60048|1|1|VN
04055RUPLUS|USJT|54660|4000161856|54499|1|1|VN
04055RUPLUS|US8S|73131|4000217140|73127|1|1|VN
04055RUPLUS|USQ4|60163|4000180019|60056|1|1|VN
04055RUPLUS|USKR|89434|4000212546|89505|1|1|VN
04055RUPLUS|USQ4|60163|4000173544|60139|1|1|VN
04055RUPLUS|USKZ|30336|4000169189|30083|1|1|VN
04055RUPLUS|USQ4|60163|4000213203|60076|1|1|VN
04055RUPLUS|USKZ|30336|4000132852|30336|1|1|VN
04055RUPLUS|USOR|14219|4000193684|14224|1|1|VN
04055RUPLUS|USA8|35204|4000202805|47591|1440|1|VN
04055RUPLUS|US8T|37909|4000090285|37745|1|1|VN
04055RUPLUS|USQ4|60163|4000213609|60123|1|1|VN
04055RUPLUS|USQ4|60163|4000213722|60048|1|1|VN
04055RUPLUS|USKZ|30336|4000199821|30336|1|1|VN
04055RUPLUS|USKM|84104|4000202270|84054|1|1|VN
04055RUPLUS|USG5|78218|6101068025|78238|1|1|VN
04055RUPLUS|USG5|78218|4000056472|78237|1|1|VN
04055RUPLUS|USA8|35204|4000224194|35811|1|1|VN
04055RUPLUS|USQ4|60163|4000226480|60103|1|1|VN
04055RUPLUS|USJS|23803|4000173474|27885|1|1|VN
04055RUPLUS|USNY|72113|3000003455|72112|1|1|VN
04055RUPLUS|USQ4|60163|4000171293|60007|1|1|VN
04055RUPLUS|USJT|54660|6101039851|54619|1|1|VN
04055RUPLUS|USKM|84104|4000096196|83211|1|1|VN
04055RUPLUS|UT13|28269|4000227003|28690|1|1|VN
04055RUPLUS|UT13|28269|6100184419|28601|1|1|VN
04055RUPLUS|USJB|22841|4000183759|22601|1|1|VN
04055RUPLUS|USKM|84104|4000033272|84104|1|1|VN
04055RUPLUS|USKZ|30336|4000180557|30223|1|1|VN
04055RUPLUS|USQ4|60163|4000211781|60007|1|1|VN
04055RUPLUS|USKM|84104|4000212108|84104|1|1|FB
04055RUPLUS|USX1|11713|4000215460|11520|1|1|VN
04055RUPLUS|USQ4|60163|4000216021|60007|1|1|VN
04055RUPLUS|USA8|35204|4000207297|37334|1|1|VN
04055RUPLUS|USKR|89434|4000200933|97471|1440|1|VN
04055RUPLUS|USKM|84104|6100364199|84032|1|1|VN
04055RUPLUS|USKM|84104|4000178235|84115|1|1|VN
04055RUPLUS|USG5|78218|4000178476|78617|1|1|VN
04055RUPLUS|UT3E|84321|4000201305|83716|1440|1|VN
04055RUPLUS|USKM|84104|4000201453|84016|1|1|VN
04055RUPLUS|UT3E|84321|4000179077|84074|1|1|VN
04055RUPLUS|USA9|17055|6100202006|17543|1|1|VN
04055RUPLUS|USPX|17406|4000172280|17404|1|1|VN
04055RUPLUS|UT44|63114|4000222804|63114|1|1|VN
04055RUPLUS|USQ4|60163|6100701342|60609|1|1|VN
04055RUPLUS|USKM|84104|4000223018|84058|1|1|VN
04055RUPLUS|USJT|54660|4000227060|54729|1|1|VN
04055RUPLUS|USX6|45215|6100122469|45215|1|1|VN
04055RUPLUS|UT44|63114|4000177048|62025|1|1|VN
04055RUPLUS|USJT|54660|4000170040|54448|1|1|VN
04055RUPLUS|US8S|73131|4000170077|73127|1|1|VN
04055RUPLUS|USQ4|60163|4000177863|46350|1|1|VN
04055RUPLUS|USQ4|60163|4000223528|60160|1|1|VN
04055RUPLUS|USKR|89434|4000227380|89431|1|1|VN
04055RUPLUS|USKM|84104|4000227536|84660|1|1|VN
04055RUPLUS|USKZ|30336|4000227567|30349|1|1|VN
04055RUPLUS|USKM|84104|4000087535|84104|1|1|VN
04055RUPLUS|USJS|23803|6100388725|27871|1|1|VN
04055RUPLUS|USA8|35204|4000170518|35055|1|1|VN
04055RUPLUS|USG5|78218|4000170570|78219|1|1|VN
04055RUPLUS|US8S|73131|4000091260|73108|1|1|VN
04055RUPLUS|USJT|54660|4000086619|54499|1|1|VN
04055RUPLUS|USX1|11713|4000169081|11722|1|1|VN
04055RUPLUS|UT2L|92121|4000169575|92227|1|1|FB
04055RUPLUS|USQ4|60163|4000222192|60527|1|1|VN
04055RUPLUS|UT44|63114|4000224855|63123|1|1|VN
04055RUPLUS|USKM|84104|4000227371|84116|1|1|VN
04055RUPLUS|USQ4|60163|4000096456|60455|1|1|VN
04055RUPLUS|USA8|35204|4000096465|35209|1|1|VN
04055RUPLUS|USAS|65559|4000142598|51560|1440|1|VN
04055RUPLUS|USQ4|60163|4000115196|60525|1|1|VN
04055RUPLUS|USQ4|60163|4000116346|60123|1|1|VN
04055RUPLUS|USQ4|60163|4000200771|60609|1|1|VN
04055RUPLUS|USA9|17055|4000273309|17257|1|1|VN
04055RUPLUS|UT74|24153|4000275493|24482|1|1|VN
04055RUPLUS|USA9|17055|4000257707|17364|1|1|VN
04055RUPLUS|US8S|73131|4000268438|73701|1|1|VN
04055RUPLUS|UT44|63114|4000284842|63045|1|1|VN
04055RUPLUS|UT44|63114|4000284995|63084|1|1|VN
04055RUPLUS|UT44|63114|4000303251|63147|1|1|VN
04055RUPLUS|USOR|14219|4000267525|14203|1|1|VN
04055RUPLUS|UT13|28269|4000282336|28115|1|1|FB
04055RUPLUS|USWN|87121|4000276430|87107|1|1|VN
04055RUPLUS|USKM|84104|4000286454|84404|1|1|FB
04055RUPLUS|USNY|72113|4000271224|72206|1|1|VN
04055RUPLUS|USNY|72113|4000271226|72112|1|1|VN
04055RUPLUS|USNY|72113|4000271568|72802|1|1|VN
04055RUPLUS|USA8|35204|4000272275|35022|1|1|VN
04055RUPLUS|USKZ|30336|4000269341|30340|1|1|VN
04055RUPLUS|USOR|14219|4000279304|14080|1|1|VN
04055RUPLUS|USA8|35204|4000280103|36251|1|1|FB
04055RUPLUS|USG5|78218|4000280244|78632|1|1|VN
04055RUPLUS|USKM|84104|4000287530|83402|1|1|VN
04055RUPLUS|UT13|28269|4000287681|28273|1|1|VN
04055RUPLUS|UT44|63114|4000273747|63376|1|1|VN
04055RUPLUS|USA9|17055|4000281321|17535|1|1|VN
04055RUPLUS|USKM|84104|4000281893|84042|1|1|FB
04055RUPLUS|USQ4|60163|4000282268|60163|1|1|VN
04055RUPLUS|USA9|17055|4000181824|17345|1|1|VN
04055RUPLUS|USOR|14219|4000275332|14048|1|1|VN
